LapTime,LapNumber,TyreLife,Compound,Team,MaxSpeed,MinSpeed,GP
106.339,1.0,4.0,MEDIUM,Red Bull Racing,305.0,0.0,France
99.613,2.0,5.0,MEDIUM,Red Bull Racing,309.0,72.0,France
99.571,3.0,6.0,MEDIUM,Red Bull Racing,307.0,73.0,France
100.024,4.0,7.0,MEDIUM,Red Bull Racing,306.0,75.0,France
99.408,5.0,8.0,MEDIUM,Red Bull Racing,308.0,74.0,France
98.727,6.0,9.0,MEDIUM,Red Bull Racing,309.0,73.0,France
99.43,7.0,10.0,MEDIUM,Red Bull Racing,307.0,70.0,France
99.059,8.0,11.0,MEDIUM,Red Bull Racing,307.0,73.0,France
99.122,9.0,12.0,MEDIUM,Red Bull Racing,307.0,72.0,France
98.95,10.0,13.0,MEDIUM,Red Bull Racing,308.0,72.0,France
99.214,11.0,14.0,MEDIUM,Red Bull Racing,308.0,74.0,France
99.307,12.0,15.0,MEDIUM,Red Bull Racing,307.0,74.0,France
99.214,13.0,16.0,MEDIUM,Red Bull Racing,307.0,73.0,France
99.015,14.0,17.0,MEDIUM,Red Bull Racing,307.0,75.0,France
100.297,15.0,18.0,MEDIUM,Red Bull Racing,308.0,73.0,France
99.199,16.0,19.0,MEDIUM,Red Bull Racing,308.0,73.0,France
99.246,17.0,20.0,MEDIUM,Red Bull Racing,307.0,74.0,France
97.776,20.0,2.0,HARD,Red Bull Racing,315.0,77.0,France
97.516,21.0,3.0,HARD,Red Bull Racing,306.0,78.0,France
97.052,22.0,4.0,HARD,Red Bull Racing,307.0,76.0,France
98.086,23.0,5.0,HARD,Red Bull Racing,307.0,76.0,France
97.915,24.0,6.0,HARD,Red Bull Racing,309.0,74.0,France
97.706,25.0,7.0,HARD,Red Bull Racing,307.0,76.0,France
98.278,26.0,8.0,HARD,Red Bull Racing,306.0,76.0,France
97.727,27.0,9.0,HARD,Red Bull Racing,311.0,76.0,France
97.657,28.0,10.0,HARD,Red Bull Racing,307.0,75.0,France
98.04,29.0,11.0,HARD,Red Bull Racing,310.0,77.0,France
97.833,30.0,12.0,HARD,Red Bull Racing,308.0,78.0,France
97.844,31.0,13.0,HARD,Red Bull Racing,306.0,78.0,France
96.743,34.0,5.0,MEDIUM,Red Bull Racing,308.0,79.0,France
96.404,35.0,6.0,MEDIUM,Red Bull Racing,315.0,76.0,France
96.579,36.0,7.0,MEDIUM,Red Bull Racing,305.0,79.0,France
96.582,37.0,8.0,MEDIUM,Red Bull Racing,309.0,77.0,France
96.863,38.0,9.0,MEDIUM,Red Bull Racing,308.0,75.0,France
96.973,39.0,10.0,MEDIUM,Red Bull Racing,309.0,76.0,France
97.033,40.0,11.0,MEDIUM,Red Bull Racing,312.0,76.0,France
97.081,41.0,12.0,MEDIUM,Red Bull Racing,330.0,78.0,France
96.849,42.0,13.0,MEDIUM,Red Bull Racing,312.0,76.0,France
97.092,43.0,14.0,MEDIUM,Red Bull Racing,332.0,73.0,France
97.45,44.0,15.0,MEDIUM,Red Bull Racing,333.0,75.0,France
97.129,45.0,16.0,MEDIUM,Red Bull Racing,310.0,74.0,France
97.558,46.0,17.0,MEDIUM,Red Bull Racing,312.0,75.0,France
97.627,47.0,18.0,MEDIUM,Red Bull Racing,311.0,72.0,France
97.459,48.0,19.0,MEDIUM,Red Bull Racing,315.0,77.0,France
97.43,49.0,20.0,MEDIUM,Red Bull Racing,338.0,72.0,France
96.968,50.0,21.0,MEDIUM,Red Bull Racing,310.0,72.0,France
97.413,51.0,22.0,MEDIUM,Red Bull Racing,314.0,73.0,France
96.942,52.0,23.0,MEDIUM,Red Bull Racing,335.0,74.0,France
97.143,53.0,24.0,MEDIUM,Red Bull Racing,313.0,74.0,France
104.859,1.0,4.0,MEDIUM,Mercedes,296.0,0.0,France
99.625,2.0,5.0,MEDIUM,Mercedes,298.0,72.0,France
99.776,3.0,6.0,MEDIUM,Mercedes,299.0,78.0,France
99.692,4.0,7.0,MEDIUM,Mercedes,299.0,77.0,France
99.549,5.0,8.0,MEDIUM,Mercedes,303.0,78.0,France
98.787,6.0,9.0,MEDIUM,Mercedes,303.0,77.0,France
99.204,7.0,10.0,MEDIUM,Mercedes,300.0,74.0,France
98.763,8.0,11.0,MEDIUM,Mercedes,307.0,77.0,France
99.268,9.0,12.0,MEDIUM,Mercedes,303.0,78.0,France
98.778,10.0,13.0,MEDIUM,Mercedes,301.0,80.0,France
98.977,11.0,14.0,MEDIUM,Mercedes,301.0,78.0,France
99.432,12.0,15.0,MEDIUM,Mercedes,302.0,77.0,France
98.929,13.0,16.0,MEDIUM,Mercedes,300.0,79.0,France
99.16,14.0,17.0,MEDIUM,Mercedes,302.0,79.0,France
99.511,15.0,18.0,MEDIUM,Mercedes,303.0,76.0,France
99.395,16.0,19.0,MEDIUM,Mercedes,301.0,78.0,France
98.926,17.0,20.0,MEDIUM,Mercedes,301.0,79.0,France
99.035,18.0,21.0,MEDIUM,Mercedes,303.0,77.0,France
97.48,21.0,2.0,HARD,Mercedes,318.0,78.0,France
97.551,22.0,3.0,HARD,Mercedes,324.0,76.0,France
97.702,23.0,4.0,HARD,Mercedes,311.0,80.0,France
97.786,24.0,5.0,HARD,Mercedes,322.0,81.0,France
97.947,25.0,6.0,HARD,Mercedes,325.0,78.0,France
97.905,26.0,7.0,HARD,Mercedes,322.0,77.0,France
97.979,27.0,8.0,HARD,Mercedes,323.0,77.0,France
97.712,28.0,9.0,HARD,Mercedes,322.0,76.0,France
98.457,29.0,10.0,HARD,Mercedes,319.0,77.0,France
98.226,30.0,11.0,HARD,Mercedes,307.0,79.0,France
98.503,31.0,12.0,HARD,Mercedes,308.0,77.0,France
98.392,32.0,13.0,HARD,Mercedes,305.0,76.0,France
98.429,33.0,14.0,HARD,Mercedes,304.0,74.0,France
98.666,34.0,15.0,HARD,Mercedes,305.0,75.0,France
98.411,35.0,16.0,HARD,Mercedes,304.0,77.0,France
98.565,36.0,17.0,HARD,Mercedes,303.0,79.0,France
99.137,37.0,18.0,HARD,Mercedes,306.0,78.0,France
97.65,38.0,19.0,HARD,Mercedes,309.0,77.0,France
97.458,39.0,20.0,HARD,Mercedes,308.0,77.0,France
