Abbreviation,TeamName,GridPosition,Position,Status,box,median_laptime,Q_best_sec,year,race,rainfall
LAT,Williams,20.0,16.0,Finished,3.0,101.118,93.634,2022,Bahrain Grand Prix,False
ALB,Williams,20.0,10.0,Finished,1.0,85.48,80.135,2022,Australian Grand Prix,False
ALO,Alpine,20.0,9.0,Finished,3.0,88.735,81.043,2022,Spanish Grand Prix,False
ZHO,Alfa Romeo,20.0,16.0,Finished,2.0,82.3535,75.606,2022,Monaco Grand Prix,True
MSC,Haas F1 Team,20.0,14.0,Finished,2.0,110.5365,105.775,2022,Azerbaijan Grand Prix,False
TSU,AlphaTauri,20.0,18.0,DNF,1.0,79.3965,96.575,2022,Canadian Grand Prix,False
STR,Aston Martin,20.0,11.0,Finished,3.0,94.7755,103.43,2022,British Grand Prix,True
MAG,Haas F1 Team,20.0,18.0,DNF,2.0,100.177,92.649,2022,French Grand Prix,False
LAT,Williams,20.0,18.0,Finished,4.0,78.4415,73.353,2022,Dutch Grand Prix,False
TSU,AlphaTauri,20.0,14.0,Finished,2.0,87.3745,82.02,2022,Italian Grand Prix,False
LAT,Williams,20.0,9.0,Finished,2.0,109.9115,91.511,2022,Japanese Grand Prix,True
STR,Aston Martin,20.0,15.0,Finished,2.0,84.3935,80.52,2022,Mexico City Grand Prix,False
LAT,Williams,20.0,19.0,DNF,2.0,92.228,86.054,2022,Abu Dhabi Grand Prix,False
STR,Aston Martin,19.0,12.0,Finished,3.0,100.395,93.032,2022,Bahrain Grand Prix,False
LAT,Williams,19.0,16.0,Finished,1.0,82.8135,81.971,2022,Emilia Romagna Grand Prix,False
LAT,Williams,19.0,14.0,Finished,1.0,96.566,91.325,2022,Miami Grand Prix,True
LAT,Williams,19.0,16.0,Finished,3.0,90.0655,81.915,2022,Spanish Grand Prix,False
LAT,Williams,19.0,15.0,Finished,3.0,82.3415,74.403,2022,Monaco Grand Prix,True
STR,Aston Martin,19.0,16.0,Finished,1.0,111.028,105.371,2022,Azerbaijan Grand Prix,False
LEC,Ferrari,19.0,5.0,Finished,1.0,78.662,93.008,2022,Canadian Grand Prix,False
MSC,Haas F1 Team,19.0,8.0,Finished,3.0,94.5405,102.708,2022,British Grand Prix,True
ALO,Alpine,19.0,10.0,Finished,3.0,71.173,66.103,2022,Austrian Grand Prix,False
SAI,Ferrari,19.0,5.0,Finished,2.0,98.599,91.081,2022,French Grand Prix,False
LAT,Williams,19.0,18.0,Finished,3.0,85.567,79.57,2022,Hungarian Grand Prix,True
MSC,Haas F1 Team,19.0,17.0,Finished,2.0,115.36,107.718,2022,Belgian Grand Prix,False
VET,Aston Martin,19.0,14.0,Finished,4.0,77.777,72.391,2022,Dutch Grand Prix,False
HAM,Mercedes,19.0,5.0,Finished,1.0,87.183,81.524,2022,Italian Grand Prix,False
LAT,Williams,19.0,19.0,DNF,0.0,127.272,117.532,2022,Singapore Grand Prix,True
STR,Aston Martin,19.0,12.0,Finished,3.0,108.871,91.419,2022,Japanese Grand Prix,True
TSU,AlphaTauri,19.0,10.0,Finished,2.0,103.298,97.147,2022,United States Grand Prix,False
MAG,Haas F1 Team,19.0,17.0,Finished,1.0,85.07,79.833,2022,Mexico City Grand Prix,False
ALB,Williams,19.0,15.0,Finished,3.0,77.868,71.631,2022,São Paulo Grand Prix,False
ALB,Williams,19.0,13.0,Finished,2.0,91.691,86.028,2022,Abu Dhabi Grand Prix,False
RIC,McLaren,18.0,14.0,Finished,3.0,100.627,92.945,2022,Bahrain Grand Prix,False
LAT,Williams,18.0,18.0,DNF,0.0,98.161,91.817,2022,Saudi Arabian Grand Prix,False
LAT,Williams,18.0,16.0,Finished,2.0,85.375,81.372,2022,Australian Grand Prix,False
ALB,Williams,18.0,9.0,Finished,1.0,95.112,91.266,2022,Miami Grand Prix,True
ALB,Williams,18.0,18.0,Finished,4.0,90.4955,81.645,2022,Spanish Grand Prix,False
STR,Aston Martin,18.0,14.0,Finished,4.0,82.264,73.678,2022,Monaco Grand Prix,True
LAT,Williams,18.0,15.0,Finished,2.0,111.396,105.367,2022,Azerbaijan Grand Prix,False
LAT,Williams,18.0,16.0,Finished,2.0,80.0635,95.66,2022,Canadian Grand Prix,False
VET,Aston Martin,18.0,9.0,Finished,3.0,94.3865,102.666,2022,British Grand Prix,True
VET,Aston Martin,18.0,17.0,Finished,2.0,71.376,67.083,2022,Austrian Grand Prix,False
LAT,Williams,18.0,17.0,DNF,2.0,100.761,93.794,2022,French Grand Prix,False
VET,Aston Martin,18.0,10.0,Finished,2.0,85.146,79.273,2022,Hungarian Grand Prix,True
ZHO,Alfa Romeo,18.0,14.0,Finished,2.0,114.92,106.085,2022,Belgian Grand Prix,False
MAG,Haas F1 Team,18.0,15.0,Finished,4.0,77.656,72.319,2022,Dutch Grand Prix,False
SAI,Ferrari,18.0,4.0,Finished,2.0,86.676,80.429,2022,Italian Grand Prix,False
ALB,Williams,18.0,17.0,DNF,0.0,123.5275,116.985,2022,Singapore Grand Prix,True
MAG,Haas F1 Team,18.0,14.0,Finished,2.0,110.3,91.352,2022,Japanese Grand Prix,True
ZHO,Alfa Romeo,18.0,12.0,Finished,2.0,104.066,96.97,2022,United States Grand Prix,False
LAT,Williams,18.0,18.0,Finished,2.0,85.389,81.167,2022,Mexico City Grand Prix,False
LAT,Williams,18.0,16.0,Finished,3.0,77.863,75.095,2022,São Paulo Grand Prix,False
BOT,Alfa Romeo,18.0,15.0,Finished,1.0,92.561,85.892,2022,Abu Dhabi Grand Prix,False
HUL,Aston Martin,17.0,17.0,Finished,3.0,100.815,92.777,2022,Bahrain Grand Prix,False
HUL,Aston Martin,17.0,12.0,Finished,1.0,96.5245,90.543,2022,Saudi Arabian Grand Prix,False
VET,Aston Martin,17.0,19.0,DNF,0.0,86.179,81.149,2022,Australian Grand Prix,False
GAS,AlphaTauri,17.0,12.0,Finished,1.0,82.5635,80.732,2022,Emilia Romagna Grand Prix,False
ZHO,Alfa Romeo,17.0,20.0,Finished,0.0,96.727,91.02,2022,Miami Grand Prix,True
STR,Aston Martin,17.0,15.0,Finished,3.0,89.108,81.418,2022,Spanish Grand Prix,False
GAS,AlphaTauri,17.0,11.0,Finished,3.0,82.393,73.66,2022,Monaco Grand Prix,True
ALB,Williams,17.0,12.0,Finished,2.0,110.1245,104.719,2022,Azerbaijan Grand Prix,False
STR,Aston Martin,17.0,10.0,Finished,1.0,79.428,95.532,2022,Canadian Grand Prix,False
MAG,Haas F1 Team,17.0,10.0,Finished,2.0,95.0355,102.159,2022,British Grand Prix,True
LAT,Williams,17.0,19.0,Finished,2.0,72.266,67.003,2022,Austrian Grand Prix,False
MSC,Haas F1 Team,17.0,15.0,Finished,2.0,100.135,93.701,2022,French Grand Prix,False
ALB,Williams,17.0,17.0,Finished,3.0,85.259,79.256,2022,Hungarian Grand Prix,True
NOR,McLaren,17.0,12.0,Finished,2.0,114.8685,106.178,2022,Belgian Grand Prix,False
RIC,McLaren,17.0,17.0,Finished,5.0,77.85,72.081,2022,Dutch Grand Prix,False
MSC,Haas F1 Team,17.0,12.0,Finished,1.0,87.645,83.005,2022,Italian Grand Prix,False
OCO,Alpine,17.0,16.0,DNF,0.0,122.983,116.337,2022,Singapore Grand Prix,True
GAS,AlphaTauri,17.0,18.0,Finished,4.0,109.131,91.322,2022,Japanese Grand Prix,True
LAT,Williams,17.0,17.0,Finished,2.0,104.563,97.244,2022,United States Grand Prix,False
ALB,Williams,17.0,12.0,Finished,1.0,84.797,80.859,2022,Mexico City Grand Prix,False
ALO,Alpine,17.0,5.0,Finished,3.0,76.845,72.504,2022,São Paulo Grand Prix,False
GAS,AlphaTauri,17.0,14.0,Finished,1.0,92.05,85.859,2022,Abu Dhabi Grand Prix,False
